deal_id,snapshot_date,stage,forecast_category,amount,close_date,owner_id
deal_31,2024-12-23,Prospecting,Pipeline,25164,2025-07-02,owner_1
deal_31,2024-12-30,Prospecting,Pipeline,17950,2025-04-02,owner_1
deal_223,2025-05-05,Prospecting,Pipeline,11809,2025-10-14,owner_6
deal_208,2025-05-12,Prospecting,Pipeline,12127,2025-07-23,owner_9
deal_208,2025-04-14,Prospecting,Pipeline,12353,2025-05-23,owner_9
deal_208,2025-03-24,Prospecting,Pipeline,12400,2025-04-23,owner_9
deal_47,2025-01-13,Closed Lost,Closed,12420,2025-02-24,owner_5
deal_208,2025-03-10,Prospecting,Pipeline,12761,2025-08-23,owner_9
deal_208,2025-06-02,Prospecting,Pipeline,12916,2025-04-23,owner_9
deal_516,2025-03-10,Prospecting,Pipeline,13043,2025-06-07,owner_2
deal_412,2025-05-26,Qualification,Pipeline,13207,2025-06-20,owner_4
deal_700,2025-01-13,Prospecting,Pipeline,13456,2024-12-01,owner_9
deal_44,2025-01-06,Proposal,Best Case,13500,2025-02-14,owner_5
deal_44,2025-01-13,Proposal,Best Case,13500,2025-01-14,owner_5
deal_44,2025-01-20,Proposal,Best Case,13500,2025-02-14,owner_5
deal_44,2025-01-27,Negotiation,Best Case,13500,2025-02-14,owner_5
deal_44,2025-02-03,Negotiation,Best Case,13500,2025-01-14,owner_5
deal_44,2025-02-10,Negotiation,Best Case,13500,2025-01-14,owner_5
deal_44,2025-02-17,Negotiation,Best Case,13500,2025-02-14,owner_5
deal_44,2025-02-24,Negotiation,Best Case,13500,2025-04-14,owner_5
deal_44,2025-03-03,Negotiation,Best Case,13500,2025-02-14,owner_5
deal_44,2025-03-10,Closed Won,Closed,13500,2025-03-14,owner_5
deal_223,2025-05-26,Qualification,Pipeline,13505,2025-10-14,owner_6
deal_516,2025-03-31,Prospecting,Pipeline,13509,2025-03-07,owner_2
deal_34,2024-06-03,Prospecting,Pipeline,23098,2024-10-11,owner_1
deal_34,2024-06-10,Prospecting,Pipeline,19066,2025-01-11,owner_1
deal_34,2024-06-17,Prospecting,Pipeline,25021,2024-09-11,owner_1
deal_34,2024-06-24,Prospecting,Pipeline,27770,2024-09-11,owner_1
deal_34,2024-07-01,Prospecting,Pipeline,24128,2024-09-11,owner_1
deal_34,2024-07-08,Prospecting,Pipeline,25265,2025-01-11,owner_1
